depth,shift,discharge,flag
7.68,-0.13,1439.94,
7.69,-0.13,1448.01,
7.70,-0.13,1456.11,
7.71,-0.13,1464.24,
7.72,-0.13,1472.39,
7.73,-0.13,1480.57,
7.74,-0.13,1488.78,
7.75,-0.13,1497.01,
7.76,-0.13,1505.28,
7.77,-0.13,1513.57,
7.78,-0.13,1521.88,
7.79,-0.13,1530.23,
7.80,-0.13,1538.60,*
7.81,-0.13,1547.01,
7.82,-0.13,1555.43,
7.83,-0.13,1563.89,
7.84,-0.13,1572.38,
7.85,-0.13,1580.89,
7.86,-0.13,1589.43,
7.87,-0.13,1598.00,
7.88,-0.13,1606.60,
7.89,-0.13,1615.22,
7.90,-0.13,1623.87,
7.91,-0.13,1632.55,
7.92,-0.13,1641.26,
7.93,-0.13,1650.00,
7.94,-0.13,1659.78,
7.95,-0.13,1669.60,
7.96,-0.13,1679.46,
7.97,-0.13,1689.35,
7.98,-0.13,1699.28,
7.99,-0.13,1709.25,
8.00,-0.13,1719.26,
8.01,-0.13,1729.30,
8.02,-0.13,1739.38,
8.03,-0.13,1749.50,
8.04,-0.13,1759.66,
8.05,-0.13,1769.86,
8.06,-0.13,1780.09,
8.07,-0.13,1790.37,
8.08,-0.13,1800.68,
8.09,-0.13,1811.03,
8.10,-0.13,1821.42,*
8.11,-0.13,1832.12,
8.12,-0.13,1842.87,
8.13,-0.13,1853.65,
8.14,-0.13,1864.48,
8.15,-0.13,1875.35,
8.16,-0.13,1886.26,
8.17,-0.13,1897.21,
8.18,-0.13,1908.20,
8.19,-0.13,1919.23,
8.20,-0.13,1930.30,
8.21,-0.13,1941.41,
8.22,-0.13,1952.57,
8.23,-0.13,1963.28,
8.24,-0.13,1973.06,
8.25,-0.13,1982.87,
8.26,-0.13,1992.71,
8.27,-0.13,2002.57,
8.28,-0.13,2012.47,
8.29,-0.12,2022.39,
8.30,-0.12,2032.35,
8.31,-0.12,2042.33,
8.32,-0.12,2052.34,
8.33,-0.12,2062.38,
8.34,-0.12,2072.45,
8.35,-0.12,2082.55,
8.36,-0.12,2092.68,
8.37,-0.12,2102.84,
8.38,-0.12,2113.03,
8.39,-0.12,2123.25,
8.40,-0.12,2133.49,
8.41,-0.12,2143.77,
8.42,-0.12,2154.07,
8.43,-0.12,2164.41,
8.44,-0.12,2174.77,
8.45,-0.12,2185.16,
8.46,-0.12,2195.59,
8.47,-0.12,2206.04,
8.48,-0.12,2216.52,
8.49,-0.12,2227.03,
8.50,-0.12,2237.58,
8.51,-0.12,2248.15,
8.52,-0.12,2258.75,
8.53,-0.12,2269.38,
8.54,-0.12,2280.04,
8.55,-0.12,2290.73,
8.56,-0.12,2301.45,
8.57,-0.12,2312.20,
8.58,-0.12,2322.98,
8.59,-0.12,2333.79,
8.60,-0.12,2344.63,*
8.61,-0.12,2355.50,
8.62,-0.12,2366.39,
8.63,-0.12,2377.32,
8.64,-0.12,2388.28,
8.65,-0.12,2399.27,
8.66,-0.12,2410.29,
8.67,-0.11,2421.34,
8.68,-0.11,2432.42,
8.69,-0.11,2443.53,
8.70,-0.11,2454.67,
8.71,-0.11,2465.84,
8.72,-0.11,2477.67,
8.73,-0.11,2489.91,
8.74,-0.11,2502.19,
8.75,-0.11,2514.51,
8.76,-0.11,2526.86,
8.77,-0.11,2539.26,
8.78,-0.11,2551.69,
8.79,-0.11,2564.16,
8.80,-0.11,2576.66,
8.81,-0.11,2589.21,
8.82,-0.11,2601.79,
8.83,-0.11,2614.42,
8.84,-0.11,2627.08,
8.85,-0.11,2639.78,
8.86,-0.11,2652.52,
8.87,-0.11,2665.29,
8.88,-0.11,2678.11,
8.89,-0.11,2690.96,
